file,n,mean,std,min,max,p5,p95,range,rms
Mesures27062024_153.txt,1000,20830.430009999996,4105.658351841773,13830.94,27881.3,14414.4865,27272.329999999998,14050.359999999999,21231.18566881173
Mesures27062024_154.txt,1000,20063.53916,3951.351226348032,13339.78,26843.45,13906.7255,26258.8405,13503.67,20448.931026799804
Mesures27062024_155.txt,1000,20407.67126,4007.9338900374855,13578.38,27269.17,14157.880500000001,26664.6615,13690.789999999999,20797.513801489375
Mesures27062024_156.txt,1000,20266.482550000004,4014.224922061941,13461.64,27145.4,14027.705,26572.361,13683.760000000002,20660.210954255952
Mesures27062024_157.txt,1000,20516.05153,4012.1308042642327,13669.4,27380.3,14229.8315,26790.230499999998,13710.9,20904.678040384675
Mesures27062024_158.txt,1000,20470.4441,4042.981755368108,13606.25,27343.03,14166.346500000001,26755.82,13736.779999999999,20865.87604500382
Mesures27062024_159.txt,1000,20114.662589999996,4034.1906121128177,13318.84,27042.69,13877.677,26444.6845,13723.849999999999,20515.222275286334
Mesures27062024_16.txt,1000,4769.74069,926.6464073114533,3179.77,6334.24,3309.799,6200.333,3154.47,4858.919613867357
Mesures27062024_160.txt,1000,20493.32072,4079.6680329273463,13554.98,27501.19,14112.9615,26901.800000000003,13946.21,20895.451308638218
Mesures27062024_161.txt,1000,20040.090579999996,3943.402505293248,13329.59,26757.35,13896.861,26183.375500000002,13427.759999999998,20424.388700114327
Mesures27062024_162.txt,1000,20354.30239,4026.805489690828,13493.07,27274.53,14067.3965,26673.0575,13781.46,20748.802091575406
Mesures27062024_163.txt,1000,20371.51085,4016.918332355386,13562.81,27291.35,14132.901,26692.9135,13728.539999999999,20763.768617485614
Mesures27062024_164.txt,1000,20594.02815,4097.0938859747985,13668.35,27601.46,14244.8305,27018.004999999997,13933.109999999999,20997.62305008556
Mesures27062024_165.txt,1000,20806.17049,4121.460168576504,13828.27,27950.19,14400.706,27335.626500000002,14121.919999999998,21210.449414854687
Mesures27062024_166.txt,1000,20361.782700000003,4032.3294477603777,13542.93,27276.58,14102.755500000001,26694.9385,13733.650000000001,20757.212613867374
Mesures27062024_167.txt,1000,20367.908580000003,4030.452255255976,13543.95,27219.04,14105.496,26641.529,13675.09,20762.857349245925
Mesures27062024_168.txt,1000,20122.48271,3994.5605865684092,13373.4,26937.04,13922.321,26354.7035,13563.640000000001,20515.136477586853
Mesures27062024_169.txt,1000,19929.990100000003,3922.8095653744385,13281.86,26601.71,13831.0905,26034.097,13319.849999999999,20312.383914063146
Mesures27062024_17.txt,1000,4751.82661,924.4162805302641,3166.98,6311.5,3296.2805000000003,6177.572999999999,3144.52,4840.9091698991315
Mesures27062024_170.txt,1000,20052.6703,3959.876904943702,13313.17,26813.64,13876.954,26224.675,13500.47,20439.917105086522
Mesures27062024_171.txt,1000,20588.64418,4080.05663132015,13635.98,27575.11,14213.795999999998,26979.710499999997,13939.130000000001,20989.024067007675
Mesures27062024_172.txt,1000,20301.573119999997,4022.566612931533,13458.55,27233.57,14017.356000000002,26627.8765,13775.02,20696.25360547599
