offset_s,score,n_pairs,best_feature_HA,best_corr_HA,best_corr_Abs
32174,0.8765435935006474,282,F_top10_area,0.8781336449032322,
32175,0.8747641456179549,280,F_top10_area,0.8765150825790353,
32176,0.8786968568141815,283,F_top10_area,0.8804138466305643,
32177,0.8770993846778377,281,F_top10_area,0.8788670472810921,
32178,0.8809368778418677,284,F_top10_area,0.8826796891142034,
32179,0.8797630191434289,282,F_top10_area,0.8816178982102898,
32180,0.8836315250734197,285,F_top10_area,0.8855909169786622,
32181,0.8822121628837546,283,F_top10_area,0.8842125522354012,
32182,0.8857043804049287,286,F_top10_area,0.8876249314487935,
32183,0.8844317969465232,284,F_top10_area,0.8865516170742905,
32184,0.8943074972468932,286,F_top10_area,0.8961446121291979,
32185,0.8864915289940647,285,F_top10_area,0.8884641403803532,
32186,0.8967854921437592,287,F_top10_area,0.898585132509998,
32187,0.8884645905748216,286,F_top10_area,0.8905831632955081,
32188,0.8985708518568483,288,F_top10_area,0.9004811958275701,
32189,0.8904600022986704,287,F_top10_area,0.892597238402053,
32190,0.9007311506792658,289,F_top10_area,0.902755833824894,
32191,0.8924263999598793,288,F_top10_area,0.8945494873106682,
32192,0.9034304338986003,290,F_top10_area,0.9053527819639339,
32193,0.8947678986314345,289,F_top10_area,0.8968130120649973,
32194,0.9060407855888062,291,F_top10_area,0.9078348567818117,
32195,0.8968273025351736,290,F_top10_area,0.8988154681906434,
32196,0.9082112219203026,292,F_top10_area,0.9100973531326827,
32197,0.8987601469994064,291,F_top10_area,0.9008274101157598,
32198,0.9092312828091464,293,F_top10_area,0.9111158430362374,
32199,0.9004249957276518,292,F_top10_area,0.9023988449652183,
32200,0.9110035302269961,294,F_top10_area,0.9127982895119235,
32201,0.90233637238028,293,F_top10_area,0.9042079408591218,
32202,0.9112736791039611,295,F_top10_area,0.9130097458169324,
32203,0.9042078144107837,294,F_top10_area,0.9059629813929195,
32204,0.9113910363291828,296,F_top10_area,0.9131344188585561,
32205,0.9062142202917864,295,F_top10_area,0.908095741028186,
32206,0.9117023284524013,297,F_top10_area,0.9135618175428573,
32207,0.9077112456919878,296,F_top10_area,0.9094120677751398,
32208,0.9121678738072854,298,F_top10_area,0.9137915083396814,
32209,0.9100086703049042,297,F_top10_area,0.9115997952716888,
32210,0.9135923507137813,299,F_top10_area,0.9150545426312041,
32211,0.9119464353172726,298,F_top10_area,0.913346202023753,
32212,0.9147369776938439,300,F_top10_area,0.9160848687433125,
32213,0.9135176470447974,299,F_top10_area,0.9147455007633933,
32214,0.9162603093494928,301,F_top10_area,0.9175105737483591,
32215,0.9154752635078724,300,F_top10_area,0.9166457972681255,
32216,0.9181112060847669,302,F_top10_area,0.9191226810978506,
32217,0.9170338337103972,301,F_top10_area,0.9180300424660608,
32218,0.9194449152224575,303,F_top10_area,0.9204631670129902,
32219,0.9184101324903122,302,F_top10_area,0.9194860038434652,
32220,0.9207905663991254,304,F_top10_area,0.9217938516372753,
32221,0.9200782528202437,303,F_top10_area,0.9210660416601042,
32222,0.922463815039779,305,F_top10_area,0.9234117260626311,
32223,0.9215319656604533,304,F_top10_area,0.9224344552651306,
32224,0.9239409557611336,306,F_top10_area,0.9248602127722765,
32225,0.9230839535175088,305,F_top10_area,0.923953487430489,
32226,0.9256654804271119,307,F_top10_area,0.9263538987674274,
32227,0.9246458046447006,306,F_top10_area,0.9254671505130075,
32228,0.9270522287687071,308,F_top10_area,0.9278289222327217,
32229,0.9259114052955474,307,F_top10_area,0.9267628471261969,
32230,0.928297221664373,309,F_top10_area,0.9292280241970806,
32231,0.9274694360243105,308,F_top10_area,0.9284410605246362,
32232,0.9298478792421563,310,F_top10_area,0.930596599175382,
32233,0.9290428089551288,309,F_top10_area,0.929841277086278,
32234,0.9313268569783768,311,F_top10_area,0.932131753082334,
32235,0.9302930678436115,310,F_top10_area,0.931100787725847,
32236,0.9325295270806402,312,F_top10_area,0.9333541021910768,
32237,0.9317166533012133,311,F_top10_area,0.9325320300297723,
32238,0.9338853800592909,313,F_top10_area,0.9347018917106359,
32239,0.9326675114312539,312,F_top10_area,0.9335151946988561,
32240,0.9348933236206236,314,F_top10_area,0.9357803985714926,
32241,0.9338426900690462,313,F_top10_area,0.9347307887003931,
32242,0.9395685124328728,314,F_top10_area,0.9403230157057993,
32243,0.9386320599606198,313,F_top10_area,0.9394221159668678,
32244,0.9445870879565705,314,F_top10_area,0.945256239056883,
32245,0.9436668334783851,313,F_top10_area,0.9443744800777276,
32246,0.9495196451696606,314,F_main_roi_area,0.950170696927245,
32247,0.9488400219166732,313,F_main_roi_area,0.9495608659901108,
32248,0.9510378478196355,315,F_main_roi_area,0.9518161208895285,
32249,0.9501692400685653,314,F_main_roi_area,0.9509795926974018,
32250,0.9523488226073036,316,F_main_roi_area,0.9531245116139969,
32251,0.9515081327132968,315,F_main_roi_area,0.9522544916183113,
32252,0.9540722698467972,317,F_main_roi_area,0.9547968848332667,
32253,0.953309786966164,316,F_main_roi_area,0.9540369258187354,
32254,0.9557790802248617,318,F_main_roi_area,0.9564682358161407,
32255,0.9550408387860837,317,F_main_roi_area,0.9557044226232795,
32256,0.9567507988949919,319,F_main_roi_area,0.9574465394795185,
32257,0.9559093706564787,318,F_main_roi_area,0.956587726234608,
32258,0.9571451177582938,320,F_main_roi_area,0.9577434064273591,
32259,0.9564299319687923,319,F_main_roi_area,0.957016006351872,
32260,0.956426224717823,321,F_main_roi_area,0.9569466423065156,
32261,0.955634322971521,320,F_main_roi_area,0.9561741861711557,
32262,0.954933398905629,322,F_main_roi_area,0.955442491808743,
32263,0.9540483574451744,321,F_main_roi_area,0.9545627988746559,
32264,0.9523020107749381,323,F_main_roi_area,0.9527842144222046,
32265,0.9512970751835564,322,F_main_roi_area,0.9517495693927884,
32266,0.9498558528411126,324,F_main_roi_area,0.9502566989303374,
32267,0.9488220445448377,323,F_main_roi_area,0.9492634999008804,
32268,0.9479403769244963,325,F_main_roi_area,0.9482166924620952,
32269,0.9470522910216688,324,F_main_roi_area,0.9474010369422082,
32270,0.9469045917197281,326,F_main_roi_area,0.94714389500607,
32271,0.945907452086816,325,F_main_roi_area,0.946157536571264,
32272,0.9463920930415304,327,F_main_roi_area,0.946539071596069,
32273,0.9453878640660937,326,F_main_roi_area,0.9455804622720793,
32274,0.9464600902668885,328,F_main_roi_area,0.9465776459166269,
32275,0.9454267867111155,327,F_main_roi_area,0.9455474338186474,
32276,0.9468486502237932,329,F_main_roi_mean,0.9469393467851043,
32277,0.9457527511951238,328,F_main_roi_area,0.9458272771198386,
32278,0.9473317929369403,330,F_main_roi_mean,0.9474151304563693,
32279,0.9463812382967595,329,F_main_roi_mean,0.9464481822547656,
32280,0.9479097928034543,331,F_p95,0.9480296838027821,
32281,0.9469476898794723,330,F_p95,0.9471047350290234,
32282,0.9484407368296667,332,F_p95,0.9486529019398178,
32283,0.9473746331161912,331,F_p95,0.9476165532578191,
32284,0.9489242252938663,333,F_p95,0.9491863415420039,
32285,0.9480520057403592,332,F_p95,0.9482768378601766,
32286,0.9495143609342346,334,F_p95,0.949735722853513,
32287,0.9484897525313796,333,F_p95,0.9487736005321367,
32288,0.949937607937519,335,F_p95,0.9502604651855147,
32289,0.9488678676151863,334,F_p95,0.9492253599215309,
32290,0.950236493104063,336,F_p95,0.9506030832504292,
32291,0.9490717539563484,335,F_p95,0.9494725900230365,
32292,0.9505956645497833,337,F_p95,0.9509348663507226,
32293,0.9495776444231212,336,F_p95,0.9498709109171646,
32294,0.9510370228344487,338,F_p95,0.9512892920317169,
32295,0.9501389778338476,337,F_p95,0.9504407415396036,
32296,0.9514569912987382,339,F_p95,0.951759461968131,
32297,0.950460427068412,338,F_p95,0.9507800848717399,
32298,0.9517468807453151,340,F_p95,0.9520871704016982,
32299,0.9509221858674304,339,F_p95,0.9512330556029185,
32300,0.9521595234530198,341,F_p95,0.9524401180983273,
32301,0.9512393939357218,340,F_main_roi_area,0.951563107612092,
32302,0.95251359815571,342,F_p95,0.9528503284738217,
32303,0.9515808250020187,341,F_main_roi_area,0.9519017694355423,
32304,0.952831412443685,343,F_p95,0.9531004134292136,
32305,0.9547432027696181,341,F_main_roi_area,0.9550488137356811,
32306,0.9559634770033428,343,F_main_roi_area,0.9562539177300187,
32307,0.9583453230301603,341,F_main_roi_area,0.9585992016106248,
32308,0.959343586855301,343,F_main_roi_area,0.9595943229180524,
32309,0.9617569916515769,341,F_main_roi_area,0.9619692392582733,
32310,0.9626665949964381,343,F_main_roi_area,0.9628740547262945,
32311,0.9654029277129881,341,F_main_roi_area,0.9655691897617897,
32312,0.9662297047391377,343,F_main_roi_area,0.9664230544644964,
32313,0.969520169648348,341,F_main_roi_area,0.9696607588383273,
32314,0.9702092089945066,343,F_main_roi_area,0.9703137108297621,
32315,0.9738371265314887,341,F_mean,0.9739142256418183,
32316,0.9745342205332519,343,F_main_roi_area,0.9745846565670425,
32317,0.9785841159975017,341,F_area_total,0.9787126829153563,
32318,0.9791074354741236,343,F_area_total,0.979179233418283,
32319,0.9827834944036351,341,F_mean,0.9829603512975099,
32320,0.9831682008848328,343,F_area_total,0.9833256505016096,
32321,0.9871756561037897,341,F_area_total,0.9874085279536213,
32322,0.9873732465140203,343,F_mean,0.9875817490273461,
32323,0.9905085159095534,341,F_mean,0.9907706566487114,
32324,0.9906929289624873,343,F_area_total,0.9909493892330351,
32325,0.9928955428811546,341,F_mean,0.9932038474493322,
32326,0.9929791438140312,343,F_mean,0.9932529082074135,
32327,0.9942646690746733,341,F_area_total,0.9945509312665693,
32328,0.9942670414574657,343,F_area_total,0.9945635292334676,
32329,0.9949244906120265,341,F_area_total,0.9952642752852182,
32330,0.9949260446499795,343,F_area_total,0.9952658270646918,
32331,0.9950661299537955,341,F_mean,0.9954038178839281,
32332,0.9949213036676974,343,F_area_total,0.9952754930311818,
32333,0.9946714861507733,341,F_area_total,0.9950313071434544,
32334,0.9945381734491038,343,F_mean,0.9948992083666796,
32335,0.9943139943652951,341,F_mean,0.9947095003001787,
32336,0.9941469884261686,343,F_mean,0.994584384881278,
32337,0.9938064099113756,341,F_mean,0.9942415472999158,
32338,0.9936535838453451,343,F_area_total,0.9941082092874053,
32339,0.9933605898586765,341,F_area_total,0.99380949479861,
32340,0.9932028021153197,343,F_area_total,0.9936694889450022,
32341,0.9929268519894809,341,F_mean,0.9933873559439996,
32342,0.9928704216375295,343,F_mean,0.9933727010841635,
32343,0.9925926246122481,341,F_area_total,0.993102574110485,
32344,0.9924574971365292,343,F_area_total,0.9929565857603415,
32345,0.9920882667441231,341,F_area_total,0.9925826235291424,
32346,0.9919370951952137,343,F_area_total,0.9924706644483174,
32347,0.9916100904132579,341,F_area_total,0.9921498101754498,
32348,0.9914030372779173,343,F_area_total,0.991961921406736,
32349,0.9909348147417586,341,F_area_total,0.9914895809790086,
32350,0.9906636437418899,343,F_mean,0.9912304354799137,
32351,0.9902671731915735,341,F_mean,0.9908463475742508,
