t,I,I0,A
130,7199.83,7199.83,-0.0
131,7211.85,7211.85,-0.0
132,7223.44,7223.44,-0.0
133,7235.07,7235.07,-0.0
134,7247.18,7247.18,-0.0
135,7258.88,7258.88,-0.0
136,7270.88,7270.88,-0.0
137,7282.72,7282.72,-0.0
138,7294.66,7294.66,-0.0
139,7306.5,7306.5,-0.0
140,7318.33,7318.33,-0.0
141,7330.38,7330.38,-0.0
142,7342.04,7342.04,-0.0
143,7354.04,7354.04,-0.0
144,7365.72,7365.72,-0.0
145,7377.16,7377.16,-0.0
146,7389.12,7389.12,-0.0
147,7401.12,7401.12,-0.0
148,7412.91,7412.91,-0.0
149,7424.68,7424.68,-0.0
150,7436.58,7436.58,-0.0
151,7448.41,7448.41,-0.0
152,7460.11,7460.11,-0.0
153,7471.77,7471.77,-0.0
154,7483.4,7483.4,-0.0
155,7495.22,7495.22,-0.0
156,7506.83,7506.83,-0.0
157,7518.81,7518.81,-0.0
158,7530.08,7530.08,-0.0
159,7541.91,7541.91,-0.0
160,7553.49,7553.49,-0.0
161,7565.41,7565.41,-0.0
162,7577.18,7577.18,-0.0
163,7588.66,7588.66,-0.0
164,7600.33,7600.33,-0.0
165,7611.97,7611.97,-0.0
166,7623.64,7623.64,-0.0
167,7635.46,7635.46,-0.0
168,7647.06,7647.06,-0.0
169,7658.77,7658.77,-0.0
170,7670.26,7670.26,-0.0
171,7681.52,7681.52,-0.0
172,7693.11,7693.11,-0.0
173,7704.75,7704.75,-0.0
174,7716.58,7716.58,-0.0
175,7728.28,7728.28,-0.0
176,7739.96,7739.96,-0.0
177,7751.82,7751.82,-0.0
178,7763.0,7763.0,-0.0
179,7774.88,7774.88,-0.0
180,7786.52,7786.52,-0.0
181,7798.06,7798.06,-0.0
182,7809.87,7809.87,-0.0
183,7821.32,7821.32,-0.0
184,7832.83,7832.83,-0.0
185,7844.41,7844.41,-0.0
186,7856.2,7856.2,-0.0
187,7868.02,7868.02,-0.0
188,7879.33,7879.33,-0.0
189,7891.08,7891.08,-0.0
190,7902.76,7902.76,-0.0
191,7914.25,7914.25,-0.0
192,7925.76,7925.76,-0.0
193,7937.48,7937.48,-0.0
194,7948.78,7948.78,-0.0
195,7960.32,7960.32,-0.0
196,7972.02,7972.02,-0.0
197,7982.94,7982.94,-0.0
198,7994.16,7994.16,-0.0
199,8005.86,8005.86,-0.0
200,8017.47,8017.47,-0.0
201,8029.07,8029.07,-0.0
202,8040.62,8040.62,-0.0
203,8052.01,8052.01,-0.0
204,8063.66,8063.66,-0.0
205,8075.13,8075.13,-0.0
206,8086.71,8086.71,-0.0
207,8098.21,8098.21,-0.0
208,8109.75,8109.75,-0.0
209,8121.15,8121.15,-0.0
210,8132.42,8132.42,-0.0
211,8143.79,8143.79,-0.0
212,8155.45,8155.45,-0.0
213,8166.78,8166.78,-0.0
214,8178.22,8178.22,-0.0
215,8189.63,8189.63,-0.0
216,8201.09,8201.09,-0.0
217,8212.59,8212.59,-0.0
218,8224.02,8224.02,-0.0
219,8235.17,8235.17,-0.0
220,8246.67,8246.67,-0.0
221,8258.03,8258.03,-0.0
222,8269.34,8269.34,-0.0
223,8279.94,8279.94,-0.0
224,8291.26,8291.26,-0.0
225,8302.78,8302.78,-0.0
226,8314.05,8314.05,-0.0
227,8325.33,8325.33,-0.0
228,8336.62,8336.62,-0.0
229,8347.66,8347.66,-0.0
230,8358.62,8358.62,-0.0
231,8369.84,8369.84,-0.0
232,8381.21,8381.21,-0.0
233,8392.18,8392.18,-0.0
234,8403.41,8403.41,-0.0
235,8414.12,8414.12,-0.0
236,8425.34,8425.34,-0.0
237,8436.3,8436.52107326041,2.6204658896518088e-05
238,8447.29,8448.161434618482,0.00010315612135321498
239,8458.18,8459.801795976553,0.00019172452140908672
240,8469.08,8471.442157334626,0.000278876569210393
241,8479.96,8483.082518692698,0.00036815550329792997
242,8490.87,8494.72288005077,0.00045366448425528415
243,8501.52,8506.363241408842,0.0005695290202798036
244,8512.2,8518.003602766914,0.000681565896327094
245,8522.86,8529.643964124985,0.0007956561097595474
246,8533.61,8541.284325483059,0.0008989017271232418
247,8544.07,8552.92468684113,0.0010358180247482282
248,8554.58,8564.565048199202,0.0011665359810198786
249,8564.92,8576.205409557275,0.0013167643218571598
250,8574.97,8587.845770915346,0.0015004266785578566
251,8585.29,8599.486132273418,0.0016521757855202138
252,8595.48,8611.126493631491,0.0018186616808940936
253,8605.32,8622.766854989562,0.002025397375886472
254,8615.12,8634.407216347634,0.0022362612196214406
255,8625.01,8646.047577705707,0.002436166750730615
256,8634.54,8657.687939063779,0.002677266685578575
257,8644.41,8669.32830042185,0.0028784445270458943
258,8653.71,8680.968661779923,0.003144988699198526
259,8663.17,8692.609023137995,0.0033924206262404707
260,8672.75,8704.249384496068,0.003625415217029177
261,8682.2,8715.88974585414,0.00387281459686327
262,8691.53,8727.530107212211,0.00413342146433745
263,8700.79,8739.170468570284,0.004401446964361296
264,8710.0,8750.810829928356,0.004674571489383735
265,8719.48,8762.451191286427,0.004916079048657214
266,8728.7,8774.0915526445,0.005186790263852741
267,8738.29,8785.731914002572,0.005414513875835705
268,8747.24,8797.372275360645,0.005714849780096154
269,8756.46,8809.012636718717,0.0059836469652919866
270,8765.98,8820.652998076788,0.0062175828896016885
271,8775.33,8832.293359434861,0.006470329016422021
272,8784.96,8843.933720792933,0.006690600297340083
273,8794.6,8855.574082151004,0.0069092037764028405
274,8804.52,8867.214443509078,0.007095478572615407
275,8813.8,8878.85480486715,0.007353910282507763
276,8823.45,8890.49516622522,0.007569797213061306
277,8833.7,8902.135527583294,0.007717241978370981
278,8843.97,8913.775888941365,0.007862061879678165
279,8854.6,8925.416250299437,0.007965867271749192
280,8865.23,8937.05661165751,0.008069412988975759
281,8876.1,8948.696973015582,0.008145660737300421
282,8887.13,8960.337334373653,0.008203712445945636
283,8898.04,8971.977695731726,0.008275102902693192
284,8909.56,8983.618057089798,0.008277845304096905
285,8921.08,8995.25841844787,0.008280580615354189
286,8933.02,9006.898779805942,0.008236291184150344
287,8945.26,9018.539141164014,0.008158580159745042
288,8956.92,9030.179502522085,0.008145827803187717
289,8969.23,9041.819863880159,0.008060635828033362
290,8981.75,9053.46022523823,0.007952289133154556
291,8994.5,9065.100586596302,0.007818660874268331
292,9007.44,9076.740947954375,0.007664299244759069
293,9020.33,9088.381309312446,0.007515899778201848
294,9033.42,9100.021670670518,0.007345761644870002
295,9046.45,9111.662032028591,0.007182719467601666
296,9060.02,9123.302393386663,0.006960515522254868
297,9073.28,9134.942754744734,0.0067730927181185166
298,9087.18,9146.583116102807,0.006515750576303105
299,9100.49,9158.223477460879,0.006323958140928533
300,9113.77,9169.86383881895,0.006135980988132703
301,9127.27,9181.504200177023,0.005924411783434706
302,9140.99,9193.144561535095,0.005689355234251727
303,9154.87,9204.784922893166,0.005437471029294167
304,9168.49,9216.42528425124,0.00521464386791569
305,9182.3,9228.065645609311,0.004971736114366703
306,9196.19,9239.706006967383,0.004720799875114038
307,9210.0,9251.346368325456,0.004479243997741571
308,9223.5,9262.986729683527,0.004271962575964776
309,9237.34,9274.627091041599,0.004028436446944445
310,9250.9,9286.267452399672,0.0038158467743264397
311,9264.67,9297.907813757743,0.003581167401798015
312,9278.28,9309.548175115817,0.0033643741823923
313,9291.67,9321.188536473888,0.003171846083062035
314,9305.22,9332.82889783196,0.0029626403683621896
315,9318.83,9344.469259190033,0.0027475608640664603
316,9332.35,9356.109620548104,0.002542706443625689
317,9345.83,9367.749981906178,0.002342682902192664
318,9359.33,9379.39034326425,0.002141058787371495
319,9372.5,9391.03070462232,0.0019751837688330907
320,9385.73,9402.671065980394,0.0018033541557955972
321,9398.97,9414.311427338465,0.0016309149255277536
322,9412.21,9425.951788696537,0.0014589312150626284
323,9425.28,9437.59215005461,0.001305437656064615
324,9438.22,9449.232511412682,0.001166119428118771
325,9451.26,9460.872872770753,0.001016582705217153
326,9463.69,9472.513234128826,0.0009318905863290165
327,9476.21,9484.153595486898,0.0008379159937163118
328,9489.13,9495.79395684497,0.0007020262113039533
329,9501.87,9507.434318203042,0.0005854310361726565
330,9514.47,9519.074679561114,0.0004838488813796374
331,9526.98,9530.715040919185,0.00039197195243048807
332,9539.68,9542.355402277259,0.0002804105786817444
333,9551.94,9553.99576363533,0.00021519633151658208
334,9564.45,9565.636124993402,0.0001240062367906863
335,9576.84,9577.276486351475,4.557624486217077e-05
336,9589.37,9589.37,-0.0
337,9601.71,9601.71,-0.0
338,9613.9,9613.9,-0.0
339,9625.82,9625.82,-0.0
340,9638.0,9638.0,-0.0
341,9649.9,9649.9,-0.0
342,9662.37,9662.37,-0.0
343,9674.09,9674.09,-0.0
344,9686.28,9686.28,-0.0
345,9698.14,9698.14,-0.0
346,9710.13,9710.13,-0.0
347,9721.61,9721.61,-0.0
348,9733.6,9733.6,-0.0
349,9745.18,9745.18,-0.0
350,9756.71,9756.71,-0.0
351,9768.37,9768.37,-0.0
352,9779.45,9779.45,-0.0
353,9790.98,9790.98,-0.0
354,9802.57,9802.57,-0.0
355,9813.86,9813.86,-0.0
356,9825.11,9825.11,-0.0
357,9836.84,9836.84,-0.0
358,9848.04,9848.04,-0.0
359,9859.49,9859.49,-0.0
360,9870.8,9870.8,-0.0
361,9882.47,9882.47,-0.0
362,9893.96,9893.96,-0.0
363,9905.23,9905.23,-0.0
364,9916.88,9916.88,-0.0
365,9928.22,9928.22,-0.0
366,9939.79,9939.79,-0.0
367,9951.29,9951.29,-0.0
368,9962.92,9962.92,-0.0
369,9974.46,9974.46,-0.0
370,9986.15,9986.15,-0.0
371,9997.66,9997.66,-0.0
372,10009.37,10009.37,-0.0
373,10020.7,10020.7,-0.0
374,10032.48,10032.48,-0.0
375,10044.28,10044.28,-0.0
376,10056.11,10056.11,-0.0
377,10067.67,10067.67,-0.0
378,10078.83,10078.83,-0.0
379,10090.61,10090.61,-0.0
380,10102.61,10102.61,-0.0
381,10114.31,10114.31,-0.0
